ItemNumber,Xpos,Ypos,image,Species,Annotator
278,15586.5 px,14807.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
279,15308.5 px,15333.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
280,17274.5 px,16034.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
281,17986.5 px,28569.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
282,16693.5 px,28474.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
283,15913.5 px,26382.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
284,17843.5 px,23716.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
285,6275.5 px,25272.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
286,9525.5 px,22110.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
287,10695.5 px,20735.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
288,7950.5 px,20241.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
289,4650.5 px,11732.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
290,4922.5 px,14088.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
291,4346.5 px,14926.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
292,6577.5 px,14748.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
293,11032.5 px,9986.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
294,10103.5 px,10930.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
295,9937.5 px,8661.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
296,12207.5 px,14629.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
297,10037.5 px,42537.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
298,10089.5 px,38243.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
299,9632.5 px,36240.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
300,9321.5 px,33009.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
301,4980.5 px,33657.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
302,4593.5 px,27220.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
303,13303.5 px,9143.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
304,17488.5 px,18868.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
305,16429.5 px,31416.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
306,19224.5 px,33618.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
307,13899.5 px,43883.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
308,11447.5 px,30776.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
309,11732.5 px,42855.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
310,16690.5 px,57932.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
311,19598.5 px,25473.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
312,18343.5 px,28620.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
313,15729.5 px,12537.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
314,16800.5 px,19849.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
315,15277.5 px,15516.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
316,15033.5 px,38204.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
317,13831.5 px,20304.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
318,12792.5 px,11515.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
319,12185.5 px,14345.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
320,11817.5 px,36421.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
321,9266.5 px,10558.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
322,6866.5 px,16544.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
323,7516.5 px,22035.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
324,4589.5 px,18661.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
325,3907.5 px,32610.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Blue Heron,HC
326,11373.5 px,6098.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
327,11402.5 px,6369.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
328,10982.5 px,6338.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
329,11480.5 px,6620.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
330,11361.5 px,6507.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
331,11373.5 px,6818.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
332,11217.5 px,6770.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
333,10922.5 px,6706.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
334,10376.5 px,6656.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
335,10395.5 px,6462.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
336,10590.5 px,6291.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
337,10446.5 px,6145.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
338,10312.5 px,6236.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
339,9726.5 px,5461.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
340,9592.5 px,5814.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
341,9871.5 px,5552.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
342,10076.5 px,5527.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
343,10144.5 px,5697.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
344,9366.5 px,5298.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
345,9504.5 px,5236.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
346,9750.5 px,5057.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
347,9854.5 px,5127.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
348,10017.5 px,4788.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
349,11217.5 px,4446.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
350,11009.5 px,4550.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
351,10982.5 px,4741.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
352,10765.5 px,4709.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
353,11474.5 px,4748.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
354,7935.5 px,49339.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
355,9572.5 px,49333.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
356,5670 px,-2016 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
357,12034.5 px,47554.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
358,10948.5 px,47852.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
359,13062.5 px,49514.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
360,14113.5 px,49160.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
361,15261.5 px,49018.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
362,14978.5 px,51011.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
363,15562.5 px,51721.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
364,13333.5 px,52835.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
365,12348.5 px,52894.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
366,11858.5 px,52384.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
367,12299.5 px,52208.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
368,12898.5 px,52258.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
369,10876.5 px,52659.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
370,11089.5 px,53664.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
371,11564.5 px,54353.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
372,10654.5 px,54291.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
373,12305.5 px,54816.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
374,12180.5 px,54628.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
375,16395.5 px,57748.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
376,15888.5 px,57381.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
377,16771.5 px,57135.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
378,15234.5 px,55789.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
379,14840.5 px,56036.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
380,13869.5 px,55856.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
381,16322.5 px,55603.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
382,16249.5 px,58603.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
383,13379.5 px,61971.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
384,17669.5 px,63348.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
385,16568.5 px,61927.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
386,17972.5 px,61425.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
387,14572.5 px,56658.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
388,14275.5 px,57294.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
389,12974.5 px,57065.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
390,12316.5 px,56644.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
391,4642.5 px,30916.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
392,3651.5 px,31197.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
393,13755.5 px,41229.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
394,13470.5 px,34468.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
395,13355.5 px,33176.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
396,13582.5 px,30712.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
397,13856.5 px,29227.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
398,12981.5 px,28950.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
399,12850.5 px,28457.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
400,13177.5 px,24664.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
401,13276.5 px,23656.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
402,13789.5 px,22805.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
403,14531.5 px,22104.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
404,13162.5 px,21659.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
405,14145.5 px,21437.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
406,14900.5 px,17895.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
407,11552.5 px,18208.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
408,11458.5 px,18103.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
409,14876.5 px,15193.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
410,21886.5 px,36170.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
411,22150.5 px,35268.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
412,3687.5 px,23625.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
413,3375.5 px,25850.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
414,5838.5 px,30737.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
415,11874.5 px,25633.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
416,12027.5 px,25513.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
417,12254.5 px,25502.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
418,12718.5 px,26565.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
419,10312.5 px,27078.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
420,8752.5 px,26842.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
421,8048.5 px,26045.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
422,7147.5 px,26246.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
423,6802.5 px,26376.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
424,6742.5 px,25886.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
425,6623.5 px,26038.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
426,6281.5 px,25802.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
427,6369.5 px,25886.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
428,5926.5 px,25939.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
429,6509.5 px,25441.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
430,7299.5 px,25412.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
431,8749.5 px,23015.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
432,9673.5 px,22403.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
433,9314.5 px,21999.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
434,8347.5 px,22102.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
435,11253.5 px,20979.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
436,11429.5 px,20412.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
437,11368.5 px,20231.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
438,11601.5 px,20703.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
439,11915.5 px,20419.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
440,12389.5 px,20324.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
441,7540.5 px,20748.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
442,8060.5 px,14163.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
443,9640.5 px,14694.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
444,9688.5 px,14533.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
445,8298.5 px,13132.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
446,9566.5 px,12557.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
447,10174.5 px,10288.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
448,10890.5 px,10524.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
449,10661.5 px,10757.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
450,9799.5 px,10831.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
451,9909.5 px,11033.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
452,9805.5 px,9878.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
453,11922.5 px,5553.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
454,12451.5 px,13002.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
455,12547.5 px,12878.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
456,12670.5 px,12986.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
457,12679.5 px,13196.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
458,12354.5 px,13174.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
459,11892.5 px,14983.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
460,12643.5 px,16464.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
461,12175.5 px,18509.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
462,12302.5 px,18649.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
463,12881.5 px,21848.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
464,12900.5 px,21306.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
465,13060.5 px,22164.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
466,11248.5 px,63991.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
467,9115.5 px,58203.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
468,8856.5 px,58410.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
469,9801.5 px,56942.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
470,9804.5 px,57279.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
471,9022.5 px,46630.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
472,9394.5 px,41812.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
473,9755.5 px,40651.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
474,8918.5 px,34379.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
475,9923.5 px,33906.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
476,10140.5 px,33462.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
477,9628.5 px,33022.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
478,10060.5 px,32686.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
479,9119.5 px,33064.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
480,9199.5 px,32705.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
481,9635.5 px,32456.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
482,9685.5 px,29414.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
483,8929.5 px,27156.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
484,9008.5 px,23068.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
485,9189.5 px,23045.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
486,6517.5 px,33405.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
487,6870.5 px,32777.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
488,6524.5 px,31228.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
489,5113.5 px,27377.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
490,5248.5 px,28241.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
491,5812.5 px,28153.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
492,7244.5 px,26847.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
493,6004.5 px,26919.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
494,4154.5 px,28726.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
495,5892.5 px,28275.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
496,5462.5 px,20556.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
497,8502.5 px,18369.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
498,13182.5 px,17365.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
499,13610.5 px,9492.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
500,13628.5 px,9945.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
501,8600.5 px,9873.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
502,6700.5 px,11282.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
503,6446.5 px,12261.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
504,6195.5 px,12261.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
505,5708.5 px,13895.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
506,7442.5 px,14063.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
507,7971.5 px,12944.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
508,13999.5 px,14280.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
509,14841.5 px,13648.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
510,16335.5 px,32506.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
511,16846.5 px,32580.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
512,17151.5 px,44705.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
513,18801.5 px,44029.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
514,18506.5 px,44137.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
515,19047.5 px,43019.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
516,19971.5 px,42735.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
517,21566.5 px,42386.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
518,21233.5 px,42782.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
519,22120.5 px,42716.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
520,20812.5 px,41957.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
521,21461.5 px,40805.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
522,21672.5 px,41368.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
523,21209.5 px,40376.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
524,19013.5 px,42185.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
525,19249.5 px,42315.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
526,17779.5 px,38661.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
527,17242.5 px,37714.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
528,18414.5 px,37121.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
529,15876.5 px,36512.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
530,15913.5 px,35688.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
531,15525.5 px,35191.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
532,15449.5 px,35375.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
533,14631.5 px,35010.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
534,14838.5 px,34876.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
535,14944.5 px,34671.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
536,13839.5 px,36761.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
537,13868.5 px,37076.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
538,19298.5 px,31025.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
539,19482.5 px,30619.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
540,10738.5 px,31955.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
541,10941.5 px,31479.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
542,11550.5 px,31206.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
543,11188.5 px,30882.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
544,12109.5 px,30013.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
545,10209.5 px,31085.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
546,12787.5 px,29314.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
547,8389.5 px,27402.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
548,8507.5 px,27237.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
549,8633.5 px,27724.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
550,5725.5 px,30089.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
551,6046.5 px,30043.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
552,6139.5 px,29887.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
553,5467.5 px,37819.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
554,5473.5 px,37507.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
555,8383.5 px,34304.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
556,11538.5 px,44765.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
557,11915.5 px,44305.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
558,11658.5 px,46336.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
559,17490.5 px,34873.5 px,[Document Horus_04_27_2022_HC_Counted.psb],Great Egret,HC
